127.0.0.1 - - [30/Mar/2026:00:16:38 -0500] "GET /api/malaria/villages/?count=exact HTTP/1.0" 500 171634 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:16:38 -0500] "GET /api/malaria/monthly-approvals/ HTTP/1.0" 500 195331 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:17:41 -0500] "GET /api/malaria/local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 188674 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:41 -0500] "GET /api/malaria/user-roles/?role=sk&count=exact HTTP/1.0" 500 152692 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:41 -0500] "GET /api/malaria/villages/?count=exact HTTP/1.0" 500 170042 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:41 -0500] "GET /api/malaria/local-records/?count=exact HTTP/1.0" 500 187508 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:41 -0500] "GET /api/malaria/monthly-approvals/ HTTP/1.0" 500 193739 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:41 -0500] "GET /api/malaria/local-records/ HTTP/1.0" 500 187038 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:51 -0500] "GET /api/malaria/local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 188674 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:51 -0500] "GET /api/malaria/user-roles/?role=sk&count=exact HTTP/1.0" 500 152692 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:51 -0500] "GET /api/malaria/villages/?count=exact HTTP/1.0" 500 170042 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:51 -0500] "GET /api/malaria/local-records/?count=exact HTTP/1.0" 500 187508 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:51 -0500] "GET /api/malaria/monthly-approvals/ HTTP/1.0" 500 193739 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:17:51 -0500] "GET /api/malaria/local-records/ HTTP/1.0" 500 187038 "-" "curl/8.5.0"
127.0.0.1 - - [30/Mar/2026:00:18:02 -0500] "GET /api/malaria/user-roles/?role=sk&count=exact HTTP/1.0" 500 152692 "-" "curl/8.5.0"
